tool_name,id,size_score,group,start_year
JAVASCRIPT,1,85,development,2017
HTML,2,30,design,2015
CSS,3,20,design,2015
PYTHON,4,50,data,2020
RUST,5,5,data,2021
THREEJS,6,22,design,2022
GSAP,7,8,design,2022
D3,8,17,design,2022
NODE,9,60,development,2018
AXIOS,10,21,development,2018
EXPRESS,11,23,development,2018
VUE,12,100,development,2021
VUETIFY,13,66,design,2021
VUEX,14,55,development,2021
LARAVEL,15,5,development,2023
REACT,16,9,development,2019
NUXT,17,9,development,2019
APOLLO,18,12,development,2022
PANDAS,19,35,data,2021
SCIKIT,20,13,data,2020
GIT,21,42,development,2017
GITHUB,22,42,development,2017
GITLAB,23,10,development,2021
DOCKER,24,10,development,2021
POSTMAN,25,21,development,2021
RLTK,26,3,development,2021
ROCKET,27,7,data,2021
YEW,28,7,design,2021
GRAPHQL,29,42,data,2020
REST,30,58,data,2020
AWS,31,58,development,2021
APPSYNC,32,19,development,2021
AMPLIFY,33,19,development,2021
AZURE,34,4,development,2021
WORDPRESS,35,33,development,2016
MONGODB,36,40,data,2020
DYNAMODB,37,40,data,2021
POSTGRESQL,38,45,data,2021
REDIS,39,2,data,2023
ILLUSTRATOR,40,29,design,2012
FLSTUDIO,41,27,design,2012
BLENDER,42,24,design,2022
VSCODE,43,25,development,2014
VISUALSTUDIO,44,25,development,2014
GODOT,45,62,development,2021
UNITY,46,22,development,2017
UNREAL,47,8,development,2017
SSIS,48,23,data,2021
BOOTSTRAP,49,12,design,2021
PHOTOSHOP,50,75,design,2012
